,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_21,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,21,21_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_22,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,22,22_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_23,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,23,23_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_24,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,24,24_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_25,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,25,25_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_26,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,26,26_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_27,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,27,27_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_28,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,28,28_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_29,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,29,29_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_30,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,30,30_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_31,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,31,31_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_ALT_Barcode_32,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,32,32_ALT,ALT,ZC100R2-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,1,1,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_1,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,1,1_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_2,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,2,2_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_3,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,3,3_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_4,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,4,4_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_5,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,5,5_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_6,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,6,6_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_7,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,7,7_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_8,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,8,8_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_9,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,9,9_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_10,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,10,10_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_11,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,11,11_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_12,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,12,12_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_13,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,13,13_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_14,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,14,14_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_15,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,15,15_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_16,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,16,16_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_17,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,17,17_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_18,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,18,18_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_19,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,19,19_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_20,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,20,20_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_21,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,21,21_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_22,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,22,22_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_23,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,23,23_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_24,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,24,24_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_25,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,25,25_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_26,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,26,26_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_27,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,27,27_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_28,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,28,28_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_29,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,29,29_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_30,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,30,30_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_31,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,31,31_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC100R2-MPRA3-AP1134-26-Striatum_REF_Barcode_32,Striatum,AAV.PHP.EB,,AP1134,M,ZC100R2-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,32,32_REF,REF,ZC100R2-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_1,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_2,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_3,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_4,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_5,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_6,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,6,6_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_7,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,7,7_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_8,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,8,8_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_9,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,9,9_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_10,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,10,10_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_11,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,11,11_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_12,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,12,12_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_13,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,13,13_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_14,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,14,14_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_15,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,15,15_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_16,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,16,16_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_17,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,17,17_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_18,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,18,18_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_19,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,19,19_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_20,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,20,20_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_21,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,21,21_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_22,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,22,22_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_23,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,23,23_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_24,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,24,24_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_25,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,25,25_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_26,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,26,26_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_27,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,27,27_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_28,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,28,28_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_29,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,29,29_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_30,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,30,30_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_31,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,31,31_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_ALT_Barcode_32,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,32,32_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,1,0,0,1
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_1,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_2,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_3,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_4,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_5,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_6,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,6,6_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_7,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,7,7_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_8,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,8,8_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
ZC103R-MPRA3-AP1120-26-Cortex_REF_Barcode_9,Cortex,AAV.PHP.EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,9,9_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,0,0,0,0
